ElementId,ElementTypeNumeric,ElementTypeName,DotNetTypeName,HasSolidPrimitive,HasCurveVector,HasGraphics,ChildCount_GetChildren,ChildCount_ChildElemIter,HasRange,Notes
6257033,35,35,,False,False,False,-1,0,True,
6257034,35,35,,False,False,False,-1,0,True,
6257035,35,35,,False,False,False,-1,0,True,
6257036,35,35,,False,False,False,-1,0,True,
6257037,35,35,,False,False,False,-1,0,True,
6257038,35,35,,False,False,False,-1,0,True,
6257039,35,35,,False,False,False,-1,0,True,
6257040,35,35,,False,False,False,-1,0,True,
6257041,35,35,,False,False,False,-1,0,True,
6257042,35,35,,False,False,False,-1,0,True,
6257043,35,35,,False,False,False,-1,0,True,
6257044,35,35,,False,False,False,-1,0,True,
6257045,35,35,,False,False,False,-1,0,True,
6257046,35,35,,False,False,False,-1,0,True,
6257047,35,35,,False,False,False,-1,0,True,
6257048,35,35,,False,False,False,-1,0,True,
6257049,35,35,,False,False,False,-1,0,True,
6257050,35,35,,False,False,False,-1,0,True,
6257051,35,35,,False,False,False,-1,0,True,
6257052,19,19,,True,False,False,-1,26,True,
6257079,35,35,,False,False,False,-1,0,True,
6257080,2,2,,False,False,False,-1,10,True,
6257165,24,24,,False,False,False,-1,8,True,
6257175,106,106,,False,False,False,-1,0,True,
6257181,106,106,,False,False,False,-1,0,True,
6257187,106,106,,False,False,False,-1,0,True,
6257193,106,106,,False,False,False,-1,0,True,
6257199,106,106,,False,False,False,-1,0,True,
6257205,106,106,,False,False,False,-1,0,True,
6257206,2,2,,False,False,False,-1,13,True,
6257220,2,2,,False,False,False,-1,13,True,
6257234,2,2,,False,False,False,-1,13,True,
6257248,2,2,,False,False,False,-1,13,True,
6257262,35,35,,False,False,False,-1,0,True,
6257263,35,35,,False,False,False,-1,0,True,
6257264,35,35,,False,False,False,-1,0,True,
6257265,35,35,,False,False,False,-1,0,True,
6257266,35,35,,False,False,False,-1,0,True,
6257267,35,35,,False,False,False,-1,0,True,
6257268,35,35,,False,False,False,-1,0,True,
6257269,35,35,,False,False,False,-1,0,True,
6257270,35,35,,False,False,False,-1,0,True,
6257271,35,35,,False,False,False,-1,0,True,
6257272,35,35,,False,False,False,-1,0,True,
6257273,35,35,,False,False,False,-1,0,True,
6257274,35,35,,False,False,False,-1,0,True,
6257275,35,35,,False,False,False,-1,0,True,
6257276,35,35,,False,False,False,-1,0,True,
6257277,35,35,,False,False,False,-1,0,True,
6257278,35,35,,False,False,False,-1,0,True,
6257279,35,35,,False,False,False,-1,0,True,
6257280,35,35,,False,False,False,-1,0,True,
6257281,35,35,,False,False,False,-1,0,True,
6257282,35,35,,False,False,False,-1,0,True,
6257283,35,35,,False,False,False,-1,0,True,
6257284,35,35,,False,False,False,-1,0,True,
6257285,35,35,,False,False,False,-1,0,True,
6257286,35,35,,False,False,False,-1,0,True,
6257287,35,35,,False,False,False,-1,0,True,
6257288,35,35,,False,False,False,-1,0,True,
6257289,35,35,,False,False,False,-1,0,True,
6257290,35,35,,False,False,False,-1,0,True,
6257291,35,35,,False,False,False,-1,0,True,
6257292,35,35,,False,False,False,-1,0,True,
6257293,35,35,,False,False,False,-1,0,True,
6257294,35,35,,False,False,False,-1,0,True,
6257295,35,35,,False,False,False,-1,0,True,
6257296,35,35,,False,False,False,-1,0,True,
6257297,35,35,,False,False,False,-1,0,True,
6257298,35,35,,False,False,False,-1,0,True,
6257299,35,35,,False,False,False,-1,0,True,
6257300,35,35,,False,False,False,-1,0,True,
6257301,35,35,,False,False,False,-1,0,True,
6257302,35,35,,False,False,False,-1,0,True,
6257303,35,35,,False,False,False,-1,0,True,
6257304,35,35,,False,False,False,-1,0,True,
6257305,35,35,,False,False,False,-1,0,True,
6257306,35,35,,False,False,False,-1,0,True,
6257307,35,35,,False,False,False,-1,0,True,
6257308,35,35,,False,False,False,-1,0,True,
6257309,35,35,,False,False,False,-1,0,True,
6257310,35,35,,False,False,False,-1,0,True,
6257311,35,35,,False,False,False,-1,0,True,
6257312,35,35,,False,False,False,-1,0,True,
6257313,35,35,,False,False,False,-1,0,True,
6257314,35,35,,False,False,False,-1,0,True,
6257315,35,35,,False,False,False,-1,0,True,
6257316,35,35,,False,False,False,-1,0,True,
6257317,35,35,,False,False,False,-1,0,True,
6257318,106,106,,False,False,False,-1,0,True,
6257319,106,106,,False,False,False,-1,0,True,
6257320,106,106,,False,False,False,-1,0,True,
6257321,106,106,,False,False,False,-1,0,True,
6257322,106,106,,False,False,False,-1,0,True,
6257323,106,106,,False,False,False,-1,0,True,
